,Cases
0,12.784524
1,10.11654
2,8.530899
3,10.683409
4,16.019678
5,15.896078
6,12.633753
7,9.438193
8,15.343415
9,17.349876
10,8.308446
11,13.759955
12,12.914697
13,14.839362
14,10.171758
15,12.719459
16,9.706377
17,9.781207
18,15.37732
19,15.4271755
20,9.421006
21,12.807543
22,8.352082
23,13.944625
24,11.072465
25,10.330486
26,12.289213
27,9.187992
28,12.871674
29,10.586231
30,8.13564
31,13.5136595
32,9.60191
33,13.481247
34,14.927242
35,13.973805
36,12.046865
37,14.379585
38,12.914343
39,14.604381
40,13.665638
41,12.1657295
42,9.477693
43,14.35866
44,11.310601
45,10.861707
46,12.625575
47,12.79218
48,7.871311
49,8.507345
50,15.93634
51,13.679184
52,14.123473
53,11.63887
54,9.705402
55,2.0794415
56,11.023405
57,0.0
58,12.13669
59,10.168464
60,0.6931472
61,14.920138
62,10.009783
63,9.982021
64,11.50973
65,9.905436
66,13.47628
67,13.080994
68,14.056948
69,13.727338
70,12.238796
71,11.775882
72,12.237368
73,10.477992
74,11.379246
75,15.152028
76,11.728174
77,13.178949
78,10.952928
79,9.509852
80,12.131602
81,9.7691555
82,14.587374
83,12.728179
84,8.205765
85,11.210698
86,12.88339
87,12.707103
88,12.217028
89,8.66768
90,8.672486
